name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_reward
c0069	h8ldv8pc	finished	2026-06-07T05:55:08Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
val_l8	ty4lcktd	finished	2026-06-07T05:55:08Z	meta-llama/Llama-3.1-8B-Instruct		6	llama3	2	0.0001	0.7777777777777778
val_nem	84ha4lip	finished	2026-06-07T05:55:10Z	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16		6	nemotron3_disable_thinking	2	0.0001	0.5277777777777778
val_q30	0wet8jfe	finished	2026-06-07T05:55:11Z	Qwen/Qwen3-30B-A3B-Instruct-2507		6	qwen3_instruct	2	0.0001	1
c0070	0293myxe	finished	2026-06-07T05:55:12Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
val_q32	y4eaj22n	finished	2026-06-07T05:55:13Z	Qwen/Qwen3-32B		6	qwen3_instruct	2	0.0001	0.13888888888888887
val_q4	zihg6w30	finished	2026-06-07T05:55:14Z	Qwen/Qwen3-4B-Instruct-2507		6	qwen3_instruct	2	0.0001	1
val_q8	b8unelo5	finished	2026-06-07T05:55:16Z	Qwen/Qwen3-8B		6	qwen3_instruct	2	0.0001	0.1944444444444444
c0071	ysmg8a32	finished	2026-06-07T05:55:19Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	0.625
c0072	n7xl5zj3	finished	2026-06-07T05:55:47Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
c0073	dvu350ft	finished	2026-06-07T05:55:59Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0074	tems3mll	finished	2026-06-07T05:56:05Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	0.8125
c0076	0oowwvsu	finished	2026-06-07T05:56:07Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0075	fkjla7cv	finished	2026-06-07T05:56:07Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	0
c0077	y6rr683k	finished	2026-06-07T05:56:17Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.90625
c0078	c8x2mbgl	finished	2026-06-07T05:56:18Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0
c0079	orsrnovq	finished	2026-06-07T05:56:31Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0080	610vucto	finished	2026-06-07T05:56:50Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	0.765625
c0081	3rhki17z	finished	2026-06-07T05:57:11Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0.015625
c0082	p8lfdm95	finished	2026-06-07T05:57:13Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0083	2bmtohva	finished	2026-06-07T05:57:18Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	1
c0084	vfzsif1e	finished	2026-06-07T05:57:20Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	0.03125
c0085	6egwfys4	finished	2026-06-07T05:57:24Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0.03125
c0086	lto6jli0	finished	2026-06-07T05:57:25Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	1e-05	0.734375
c0087	4njizpmy	finished	2026-06-07T05:57:37Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0.0625
c0088	vh2hegi2	finished	2026-06-07T05:57:59Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0089	fpa88xyw	finished	2026-06-07T05:58:19Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.65625
c0090	ktu1vhva	finished	2026-06-07T05:58:23Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0091	ur5arn0g	finished	2026-06-07T05:58:25Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0
c0092	c4zzetnk	finished	2026-06-07T05:58:29Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	0.75
c0093	104xxybs	finished	2026-06-07T05:58:31Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	0
c0094	i6bf9qu2	finished	2026-06-07T05:58:37Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0095	iwxt18ja	finished	2026-06-07T05:58:51Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	0.75
c0096	k4jo6p53	finished	2026-06-07T05:59:09Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0097	cqzndkcl	finished	2026-06-07T05:59:20Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0098	y8wivehm	finished	2026-06-07T05:59:34Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.875
c0099	59ynvhv5	finished	2026-06-07T05:59:38Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0.015625
c0100	wyzcnqgd	finished	2026-06-07T05:59:41Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0
c0101	exhvcu4z	finished	2026-06-07T05:59:49Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	0.65625
c0102	qzzwtntg	finished	2026-06-07T05:59:51Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0.0625
c0103	j7wws5mx	finished	2026-06-07T05:59:58Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0
c0104	bp9tm0j5	finished	2026-06-07T06:00:13Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	0.796875
c0105	7w3qmr4o	finished	2026-06-07T06:00:27Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0106	shipgvhs	finished	2026-06-07T06:00:39Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0107	3pp9c355	finished	2026-06-07T06:00:46Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	1e-05	0.890625
c0108	6ubz3l5n	finished	2026-06-07T06:00:52Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0109	5c1qxewu	finished	2026-06-07T06:00:53Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0110	gnlxord1	finished	2026-06-07T06:01:01Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	0.875
c0111	jkw4hq9p	finished	2026-06-07T06:01:01Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0113	3ol155o3	finished	2026-06-07T06:01:31Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.8125
c0112	h2v1rvyn	finished	2026-06-07T06:01:31Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0114	1tdh68o2	finished	2026-06-07T06:01:43Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0
c0115	36o8x6uy	finished	2026-06-07T06:01:54Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0116	j8l283yj	finished	2026-06-07T06:01:57Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.71875
c0117	kaaxrwsg	finished	2026-06-07T06:02:01Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0118	n0mpz5wp	finished	2026-06-07T06:02:14Z	meta-llama/Llama-3.2-1B		8	llama3	5	0.0001	0
c0119	ckbsrrw3	finished	2026-06-07T06:02:16Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.9375
c0120	7ac20gu0	crashed	2026-06-07T06:02:36Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0
c0121	4ifittdf	crashed	2026-06-07T06:02:42Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0122	uauhp3de	failed	2026-06-07T06:02:49Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	
c0123	ewea5rlj	failed	2026-06-07T06:02:58Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	
c0124	plt5obop	failed	2026-06-07T06:02:59Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	
c0125	hcdt1zrq	failed	2026-06-07T06:03:02Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	
c0126	vmdc9vja	failed	2026-06-07T06:03:04Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	
c0127	opx97kmq	failed	2026-06-07T06:03:07Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	
c0128	lywpva9t	failed	2026-06-07T06:03:08Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	
c0129	t7ps0uio	failed	2026-06-07T06:03:11Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	
c0130	strz3eko	failed	2026-06-07T06:03:13Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	
c0131	0um3fku0	failed	2026-06-07T06:03:15Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	
c0132	3cpktva0	failed	2026-06-07T06:03:16Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	
c0133	qta6s9a9	failed	2026-06-07T06:03:19Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	
c0134	j7xx2sm1	crashed	2026-06-07T06:03:20Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	
c0135	80xv2w01	crashed	2026-06-07T06:03:22Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	
c0136	879bz2jq	crashed	2026-06-07T06:03:23Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	
c0137	13esfx31	crashed	2026-06-07T06:03:24Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	
c0122	1mjhlarh	finished	2026-06-07T06:06:03Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	0.875
c0126	8xw0idw8	finished	2026-06-07T06:06:03Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0.015625
c0124	b701nf9n	finished	2026-06-07T06:06:03Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0.015625
c0123	gke3x49c	finished	2026-06-07T06:06:03Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	0
c0121	h749q17a	finished	2026-06-07T06:06:03Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0127	k65zx6ux	finished	2026-06-07T06:06:03Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0120	wdpy9uf2	finished	2026-06-07T06:06:03Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0
c0125	vpb5fm90	finished	2026-06-07T06:06:04Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	0.921875
c0128	ctwu75jc	finished	2026-06-07T06:07:02Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	0.65625
c0129	0qu3iao3	finished	2026-06-07T06:07:03Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0
c0130	6upxhimp	finished	2026-06-07T06:07:06Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0132	3a12i24a	finished	2026-06-07T06:07:08Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0131	4gemhg63	finished	2026-06-07T06:07:08Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.75
c0134	cdesvdes	finished	2026-06-07T06:07:13Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.875
c0133	r4f6yug4	finished	2026-06-07T06:07:13Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0
c0135	xly6lxsj	finished	2026-06-07T06:07:23Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
c0136	x1u171k0	finished	2026-06-07T06:08:05Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
