cell_id	item_no	item_name	key	present	validated	severity	value	note	sub_ratio_level	sub_clip_range	sub_advantage_normalization	sub_dynamic_sampling	sub_token_mask	sub_ref_snapshot	sub_kl_coefficient	sub_kl_estimator	sub_backend	sub_precision	sub_decoding_params	sub_contamination_check	sub_parser_probe
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=32	fixed-G=32													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=32	fixed-G=32													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=32	fixed-G=32													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=4	fixed-G=4													
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=4	fixed-G=4													
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=16	fixed-G=16													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=16	fixed-G=16													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=16	fixed-G=16													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=16	fixed-G=16													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20.json													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	6	Held-out split	heldout_split	1	1	ok	gsm8k_hard	gsm8k_hard													
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
