cell_id	corpus	model_id	task_slice	G	temperature	seed	item1_loss	item2_kl	item3_backend	item4_zvf	item5_G	item6_heldout	item7_decontam	badge	tier
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	2	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	2	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	32	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	32	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	32	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	32	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	4	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	4	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	4	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	4	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	8	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	8	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	8	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	8	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	manifests	Qwen-Qwen3-5-4B	humaneval_subset	16	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	manifests	Qwen-Qwen3-5-4B	humaneval_subset	16	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	manifests	Qwen-Qwen3-5-4B	humaneval_subset	16	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	manifests	Qwen-Qwen3-5-4B	humaneval_subset	16	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	manifests	Qwen-Qwen3-5-4B	humaneval_subset	2	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	manifests	Qwen-Qwen3-5-4B	humaneval_subset	2	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	manifests	Qwen-Qwen3-5-4B	humaneval_subset	2	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	manifests	Qwen-Qwen3-5-4B	humaneval_subset	2	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	manifests	Qwen-Qwen3-5-4B	humaneval_subset	32	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	manifests	Qwen-Qwen3-5-4B	humaneval_subset	4	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	manifests	Qwen-Qwen3-5-4B	humaneval_subset	4	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	manifests	Qwen-Qwen3-5-4B	humaneval_subset	4	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	manifests	Qwen-Qwen3-5-4B	humaneval_subset	4	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	manifests	Qwen-Qwen3-5-4B	humaneval_subset	8	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	manifests	Qwen-Qwen3-5-4B	humaneval_subset	8	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	manifests	Qwen-Qwen3-5-4B	humaneval_subset	8	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	manifests	Qwen-Qwen3-5-4B	humaneval_subset	8	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	16	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	16	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	2	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	2	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	2	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	2	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	32	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	32	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	32	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	32	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	4	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	4	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	8	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	manifests	meta-llama-Llama-3-2-3B	gsm8k_easy	8	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	16	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	16	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	16	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	16	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	2	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	2	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	2	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	2	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	32	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	32	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	32	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	32	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	4	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	4	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	4	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	4	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	8	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	8	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	8	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	manifests	meta-llama-Llama-3-2-3B	gsm8k_hard	8	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	16	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	16	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	16	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	16	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	2	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	2	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	2	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	2	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	32	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	4	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	4	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	4	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	4	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	8	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	8	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	8	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	manifests	meta-llama-Llama-3-2-3B	humaneval_subset	8	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	10.0	53.3	bronze
qp12-zvf-dense	quick_20260704						1.25	1.25	2.5	10.0	7.5	10.0	16.67	49.2	wood
qp3-gsweep	quick_20260704						1.25	1.25	2.5	10.0	7.5	10.0	16.67	49.2	wood
qp4-truncation	quick_20260704						1.25	1.25	2.5	5.0	2.5	10.0	16.67	39.2	wood
qp7-adaptive-g	quick_20260704						1.25	1.25	2.5	10.0	10.0	10.0	16.67	51.7	bronze
qp8-fraud-sft_manifest.json	quick_20260704						1.25	1.25	2.5	5.0	2.5	10.0	13.33	35.8	wood
