cell_id	score	model_pts	task_pts	G_pts	temp_pts	seed_pts	decontam_pts	model_sev	task_sev	G_sev	temp_sev	seed_sev	decontam_sev
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
