cell_id	match_model_vendor	match_task	match_G	match_temp	match_seed	match_zvf_path_basename	cells_model_family	cells_task_slice	cells_G	cells_temperature	cells_seed	manifest_model	manifest_task	manifest_G	manifest_temp	manifest_seed
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.6	1	Qwen-Qwen3-5-4B	gsm8k_hard	32	0.6	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	32	1.0	0	Qwen-Qwen3-5-4B	gsm8k_hard	32	1	0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	32	1.0	1	Qwen-Qwen3-5-4B	gsm8k_hard	32	1	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.6	0	Qwen-Qwen3-5-4B	gsm8k_hard	4	0.6	0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.6	1	Qwen-Qwen3-5-4B	gsm8k_hard	4	0.6	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	4	1.0	0	Qwen-Qwen3-5-4B	gsm8k_hard	4	1	0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	4	1.0	1	Qwen-Qwen3-5-4B	gsm8k_hard	4	1	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.6	0	Qwen-Qwen3-5-4B	gsm8k_hard	8	0.6	0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.6	1	Qwen-Qwen3-5-4B	gsm8k_hard	8	0.6	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	8	1.0	0	Qwen-Qwen3-5-4B	gsm8k_hard	8	1	0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	8	1.0	1	Qwen-Qwen3-5-4B	gsm8k_hard	8	1	1
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	16	0.6	0	Qwen-Qwen3-5-4B	humaneval_subset	16	0.6	0
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	16	0.6	1	Qwen-Qwen3-5-4B	humaneval_subset	16	0.6	1
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	16	1.0	0	Qwen-Qwen3-5-4B	humaneval_subset	16	1	0
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	16	1.0	1	Qwen-Qwen3-5-4B	humaneval_subset	16	1	1
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	2	0.6	0	Qwen-Qwen3-5-4B	humaneval_subset	2	0.6	0
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	2	0.6	1	Qwen-Qwen3-5-4B	humaneval_subset	2	0.6	1
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	2	1.0	0	Qwen-Qwen3-5-4B	humaneval_subset	2	1	0
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	2	1.0	1	Qwen-Qwen3-5-4B	humaneval_subset	2	1	1
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	32	1.0	1	Qwen-Qwen3-5-4B	humaneval_subset	32	1	1
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	4	0.6	0	Qwen-Qwen3-5-4B	humaneval_subset	4	0.6	0
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	4	0.6	1	Qwen-Qwen3-5-4B	humaneval_subset	4	0.6	1
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	4	1.0	0	Qwen-Qwen3-5-4B	humaneval_subset	4	1	0
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	4	1.0	1	Qwen-Qwen3-5-4B	humaneval_subset	4	1	1
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	8	0.6	0	Qwen-Qwen3-5-4B	humaneval_subset	8	0.6	0
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	8	0.6	1	Qwen-Qwen3-5-4B	humaneval_subset	8	0.6	1
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	8	1.0	0	Qwen-Qwen3-5-4B	humaneval_subset	8	1	0
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	1	1	1	1	1	1	Qwen/Qwen3.5-4B	humaneval_subset	8	1.0	1	Qwen-Qwen3-5-4B	humaneval_subset	8	1	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_easy	16	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_easy	16	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_easy	2	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_easy	2	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	2	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_easy	2	1	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	2	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_easy	2	1	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_easy	32	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_easy	32	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	32	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_easy	32	1	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	32	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_easy	32	1	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_easy	4	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_easy	4	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_easy	8	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_easy	8	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_hard	16	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_hard	16	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	16	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_hard	16	1	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	16	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_hard	16	1	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_hard	2	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_hard	2	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	2	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_hard	2	1	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	2	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_hard	2	1	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_hard	32	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_hard	32	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	32	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_hard	32	1	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	32	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_hard	32	1	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_hard	4	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_hard	4	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	4	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_hard	4	1	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	4	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_hard	4	1	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.6	0	meta-llama-Llama-3-2-3B	gsm8k_hard	8	0.6	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.6	1	meta-llama-Llama-3-2-3B	gsm8k_hard	8	0.6	1
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	8	1.0	0	meta-llama-Llama-3-2-3B	gsm8k_hard	8	1	0
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	gsm8k_hard	8	1.0	1	meta-llama-Llama-3-2-3B	gsm8k_hard	8	1	1
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.6	0	meta-llama-Llama-3-2-3B	humaneval_subset	16	0.6	0
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.6	1	meta-llama-Llama-3-2-3B	humaneval_subset	16	0.6	1
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	16	1.0	0	meta-llama-Llama-3-2-3B	humaneval_subset	16	1	0
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	16	1.0	1	meta-llama-Llama-3-2-3B	humaneval_subset	16	1	1
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.6	0	meta-llama-Llama-3-2-3B	humaneval_subset	2	0.6	0
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.6	1	meta-llama-Llama-3-2-3B	humaneval_subset	2	0.6	1
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	2	1.0	0	meta-llama-Llama-3-2-3B	humaneval_subset	2	1	0
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	2	1.0	1	meta-llama-Llama-3-2-3B	humaneval_subset	2	1	1
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	32	0.6	0	meta-llama-Llama-3-2-3B	humaneval_subset	32	0.6	0
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.6	0	meta-llama-Llama-3-2-3B	humaneval_subset	4	0.6	0
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.6	1	meta-llama-Llama-3-2-3B	humaneval_subset	4	0.6	1
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	4	1.0	0	meta-llama-Llama-3-2-3B	humaneval_subset	4	1	0
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	4	1.0	1	meta-llama-Llama-3-2-3B	humaneval_subset	4	1	1
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.6	0	meta-llama-Llama-3-2-3B	humaneval_subset	8	0.6	0
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.6	1	meta-llama-Llama-3-2-3B	humaneval_subset	8	0.6	1
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	8	1.0	0	meta-llama-Llama-3-2-3B	humaneval_subset	8	1	0
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	1	1	1	1	1	1	meta-llama/Llama-3.2-3B	humaneval_subset	8	1.0	1	meta-llama-Llama-3-2-3B	humaneval_subset	8	1	1
