field	cell_id	declared	recomputed	abs_residual	pass01
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	0.437500	0.437500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	0.790039	0.790039	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	0.468750	0.468750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	0.793945	0.793945	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	0.812500	0.812500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	0.750000	0.750000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	0.718750	0.718750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	0.804688	0.804688	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	0.531250	0.531250	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	0.777344	0.777344	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	0.500000	0.500000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	0.761719	0.761719	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	0.718750	0.718750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	0.902344	0.902344	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	0.531250	0.531250	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	0.775391	0.775391	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	0.937500	0.937500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	0.906250	0.906250	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	0.781250	0.781250	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	0.828125	0.828125	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	0.812500	0.812500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	0.875000	0.875000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	0.843750	0.843750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	0.796875	0.796875	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	0.593750	0.593750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	0.821289	0.821289	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	0.656250	0.656250	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	0.816406	0.816406	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	0.343750	0.343750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	0.817383	0.817383	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	0.656250	0.656250	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	0.845703	0.845703	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	0.687500	0.687500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	0.773438	0.773438	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	0.906250	0.906250	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	0.945312	0.945312	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	0.750000	0.750000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	0.796875	0.796875	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	0.718750	0.718750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	0.812500	0.812500	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	0.812500	0.812500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	0.906250	0.906250	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	0.750000	0.750000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	0.847656	0.847656	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	0.625000	0.625000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	0.792969	0.792969	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	0.687500	0.687500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	0.832031	0.832031	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	1.000000	1.000000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	0.000000	0.000000	0.000000	1
n_groups	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	0.593750	0.593750	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	0.039062	0.039062	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	0.500000	0.500000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	0.044922	0.044922	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	0.906250	0.906250	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	0.078125	0.078125	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	1.000000	1.000000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	0.031250	0.031250	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	1.000000	1.000000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	0.000000	0.000000	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	0.968750	0.968750	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	0.046875	0.046875	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	0.437500	0.437500	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	0.036133	0.036133	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	0.500000	0.500000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	0.038086	0.038086	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	0.593750	0.593750	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	0.024414	0.024414	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	0.500000	0.500000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	0.025391	0.025391	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	0.937500	0.937500	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	0.015625	0.015625	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	0.781250	0.781250	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	0.062500	0.062500	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	0.625000	0.625000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	0.066406	0.066406	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	0.843750	0.843750	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	0.023438	0.023438	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	0.625000	0.625000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	0.041016	0.041016	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	0.562500	0.562500	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	0.042969	0.042969	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	0.750000	0.750000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	0.017578	0.017578	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	0.781250	0.781250	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	0.015625	0.015625	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	0.875000	0.875000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	0.062500	0.062500	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	0.875000	0.875000	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	0.062500	0.062500	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	0.968750	0.968750	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	0.015625	0.015625	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	0.937500	0.937500	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	0.031250	0.031250	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	0.437500	0.437500	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	0.039062	0.039062	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	0.343750	0.343750	0.000000	1
mean_reward	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	0.053711	0.053711	0.000000	1
n_groups	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	32.000000	32.000000	0.000000	1
zvf	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	0.593750	0.593750	0.000000	1
